Subiect  Stimul  Valenta  Excitare
1 1 8.01 8.01
1 2 9.0 9.0
1 7 9.0 9.0
1 8 9.0 9.0
1 11 8.01 8.01
1 13 8.94 8.94
1 14 9.0 9.0
1 17 9.0 9.0
1 18 9.0 9.0
1 19 8.97 8.97
1 23 7.08 7.08
1 24 9.0 9.0
1 25 9.0 9.0
1 39 6.05 6.05
3 2 8.95 8.95
3 10 7.24 7.24
3 13 6.96 6.96
3 14 6.96 6.96
3 16 7.01 7.01
3 18 7.09 7.09
3 19 8.17 8.17
3 24 7.0 7.0
3 26 6.14 6.14
4 1 9.0 9.0
4 5 8.09 8.09
4 7 8.17 8.17
4 10 9.0 9.0
4 14 6.97 6.97
4 21 6.99 6.99
4 30 6.9 6.9
4 33 6.03 6.03
4 39 7.0 7.0
5 1 6.83 6.83
5 2 7.69 7.69
5 3 7.55 7.55
5 4 7.01 7.01
5 6 8.26 8.26
5 17 7.59 7.59
5 18 7.41 7.41
5 24 7.09 7.09
5 35 5.71 5.71
5 38 6.56 6.56
6 1 7.15 7.15
6 4 7.05 7.05
6 5 6.97 6.97
6 6 7.08 7.08
6 7 7.0 7.0
6 9 7.09 7.09
6 10 7.03 7.03
6 18 6.99 6.99
6 19 8.06 8.06
6 30 6.96 6.96
6 35 8.1 8.1
6 38 7.01 7.01
6 39 7.01 7.01
7 0 7.6 7.6
7 2 8.15 8.15
7 3 6.82 6.82
7 5 7.4 7.4
7 7 8.82 8.82
7 8 8.78 8.78
7 11 8.47 8.47
7 31 6.33 6.33
8 1 7.08 7.08
8 2 7.08 7.08
8 3 5.99 5.99
8 5 7.04 7.04
8 10 7.12 7.12
8 11 7.08 7.08
8 12 8.15 8.15
8 13 7.0 7.0
8 14 6.21 6.21
8 16 6.03 6.03
8 30 6.06 6.06
9 0 7.91 7.91
9 3 7.01 7.01
9 4 7.24 7.24
9 5 7.1 7.1
9 6 8.96 8.96
9 8 7.56 7.56
9 9 5.94 5.94
9 10 8.99 8.99
