Subiect  Stimul  Valenta  Excitare
1  20  1.0 1.0
1  22  1.0 1.0
1  34  1.99 1.99
1  38  1.0 1.0
2  23  3.31 3.31
2  24  3.45 3.45
3  6  2.94 2.94
3  15  2.51 2.51
3  20  1.77 1.77
3  21  1.86 1.86
3  22  1.86 1.86
3  29  3.1 3.1
3  30  2.01 2.01
3  32  1.0 1.0
3  33  2.17 2.17
3  34  2.03 2.03
3  35  2.72 2.72
3  36  1.0 1.0
3  37  1.79 1.79
3  38  1.92 1.92
3  39  1.86 1.86
6  21  3.05 3.05
6  22  3.01 3.01
6  24  2.99 2.99
6  27  2.05 2.05
7  28  2.78 2.78
7  29  1.4 1.4
10  20  3.27 3.27
10  23  2.88 2.88
10  28  2.32 2.32
11  21  3.33 3.33
11  22  1.74 1.74
13  25  3.28 3.28
13  27  2.53 2.53
14  20  3.09 3.09
15  18  2.86 2.86
15  24  2.47 2.47
15  27  2.85 2.85
15  28  3.23 3.23
18  15  3.24 3.24
18  20  2.19 2.19
18  29  2.85 2.85
21  30  2.01 2.01
21  39  2.97 2.97
22  16  2.86 2.86
22  20  1.91 1.91
22  21  2.97 2.97
24  23  3.05 3.05
25  9  3.08 3.08
25  22  2.28 2.28
25  30  1.97 1.97
25  31  1.96 1.96
25  32  1.0 1.0
25  34  2.97 2.97
25  35  2.92 2.92
25  36  1.0 1.0
25  37  1.15 1.15
25  38  1.95 1.95
25  39  3.06 3.06
26  33  2.85 2.85
26  34  1.0 1.0
26  38  2.14 2.14
27  12  2.09 2.09
27  20  2.01 2.01
27  22  2.03 2.03
27  25  1.99 1.99
27  27  2.9 2.9
27  28  2.06 2.06
27  29  1.99 1.99
27  35  3.08 3.08
27  38  1.04 1.04
28  15  3.0 3.0
28  20  2.92 2.92
28  21  3.05 3.05
28  22  2.05 2.05
28  25  3.0 3.0
28  27  1.04 1.04
28  37  1.88 1.88
29  20  3.05 3.05
29  22  3.0 3.0

1  20  1.0 1.0
1  22  1.0 1.0
1  34  1.99 1.99
1  38  1.0 1.0
2  23  3.31 3.31
2  24  3.45 3.45
3  6  2.94 2.94
3  15  2.51 2.51
3  20  1.77 1.77
3  21  1.86 1.86
3  22  1.86 1.86
3  29  3.1 3.1
3  30  2.01 2.01
3  32  1.0 1.0
3  33  2.17 2.17
3  34  2.03 2.03
3  35  2.72 2.72
3  36  1.0 1.0
3  37  1.79 1.79
3  38  1.92 1.92
3  39  1.86 1.86
6  21  3.05 3.05
6  22  3.01 3.01
6  24  2.99 2.99
6  27  2.05 2.05
7  28  2.78 2.78
7  29  1.4 1.4
10  20  3.27 3.27
10  23  2.88 2.88
10  28  2.32 2.32
11  21  3.33 3.33
11  22  1.74 1.74
13  25  3.28 3.28
13  27  2.53 2.53
14  20  3.09 3.09
15  18  2.86 2.86
15  24  2.47 2.47
15  27  2.85 2.85
15  28  3.23 3.23
18  15  3.24 3.24
18  20  2.19 2.19
18  29  2.85 2.85
21  30  2.01 2.01
21  39  2.97 2.97
22  16  2.86 2.86
22  20  1.91 1.91
22  21  2.97 2.97
24  23  3.05 3.05
25  9  3.08 3.08
25  22  2.28 2.28
25  30  1.97 1.97
25  31  1.96 1.96
25  32  1.0 1.0
25  34  2.97 2.97
25  35  2.92 2.92
25  36  1.0 1.0
25  37  1.15 1.15
25  38  1.95 1.95
25  39  3.06 3.06
26  33  2.85 2.85
26  34  1.0 1.0
26  38  2.14 2.14
27  12  2.09 2.09
27  20  2.01 2.01
27  22  2.03 2.03
27  25  1.99 1.99
27  27  2.9 2.9
27  28  2.06 2.06
27  29  1.99 1.99
27  35  3.08 3.08
27  38  1.04 1.04
28  15  3.0 3.0
28  20  2.92 2.92
28  21  3.05 3.05
28  22  2.05 2.05
28  25  3.0 3.0
28  27  1.04 1.04
28  37  1.88 1.88
29  20  3.05 3.05
29  22  3.0 3.0
